system,session,normalized_equity
A1,2024-03-18,1.0761477453072037
A1,2024-03-19,1.0813463682081863
A1,2024-03-20,1.091032736744669
A1,2024-03-21,1.0963107746825174
A1,2024-03-22,1.0931216035243514
A1,2024-03-25,1.0914245279291177
A1,2024-03-26,1.090191110527946
A1,2024-03-27,1.1007659586271081
A1,2024-03-28,1.1034413553445583
A1,2024-04-01,1.1020642694708898
A1,2024-04-02,1.101315298333299
A1,2024-04-03,1.1038833432534167
A1,2024-04-04,1.0958680484724388
A1,2024-04-05,1.11010921475708
A1,2024-04-08,1.1123552536850774
A1,2024-04-09,1.1108026892699427
A1,2024-04-10,1.1081489744690247
A1,2024-04-11,1.114651411413651
A1,2024-04-12,1.0840161469909722
A1,2024-04-15,1.0788819783884331
A1,2024-04-16,1.074204557164777
A1,2024-04-17,1.0684826085202108
A1,2024-04-18,1.0663722637742554
A1,2024-04-19,1.0654267101795964
A1,2024-04-22,1.0779246063694883
A1,2024-04-23,1.0881056320728035
A1,2024-04-24,1.0836615942180037
A1,2024-04-25,1.0780245340365726
A1,2024-04-26,1.0908854710878542
A1,2024-04-29,1.0933236396847805
A1,2024-04-30,1.0776961325248602
A1,2024-05-01,1.0864181563362638
A1,2024-05-02,1.0981722395380082
A1,2024-05-03,1.0991114173344185
A1,2024-05-06,1.1072771434313076
A1,2024-05-07,1.1069211512551018
A1,2024-05-08,1.1128481109930297
A1,2024-05-09,1.1196085823871542
A1,2024-05-10,1.117776470546872
A1,2024-05-13,1.1157676624212591
A1,2024-05-14,1.1222036275769136
A1,2024-05-15,1.1210713372321754
A1,2024-05-16,1.1167582247486783
A1,2024-05-17,1.1235146483314076
A1,2024-05-20,1.1032463926761589
A1,2024-05-21,1.1100360205403625
A1,2024-05-22,1.1076542270309178
A1,2024-05-23,1.1005520513309912
A1,2024-05-24,1.1072427061147192
A1,2024-05-28,1.1078748374077956
A1,2024-05-29,1.1049115778418586
A1,2024-05-30,1.1015395026780295
A1,2024-05-31,1.1018067314381217
A1,2024-06-03,1.1042734743139686
A1,2024-06-04,1.1012532636253678
A1,2024-06-05,1.1016975509177633
A1,2024-06-06,1.1089166277521414
A1,2024-06-07,1.1133082503358553
A1,2024-06-10,1.1185090283155779
A1,2024-06-11,1.1087197620384537
A1,2024-06-12,1.102526732676221
A1,2024-06-13,1.1001499092648295
A1,2024-06-14,1.1000210795201395
A1,2024-06-17,1.1031900839507252
A1,2024-06-18,1.1044423249081081
A1,2024-06-20,1.1146540850222786
A1,2024-06-21,1.1163971186734836
A1,2024-06-24,1.1139351749236621
A1,2024-06-25,1.114003473568187
A1,2024-06-26,1.1281967421528505
A1,2024-06-27,1.14056022695158
A1,2024-06-28,1.1367707230330375
A1,2024-07-01,1.1513220141147735
A1,2024-07-02,1.1637997757409277
A1,2024-07-03,1.15841385618472
A1,2024-07-05,1.1582123772168333
A2,2024-01-05,1.0
A2,2024-01-08,1.0050225166088085
A2,2024-01-09,1.010173851458112
A2,2024-01-10,1.015529451566816
A2,2024-01-11,1.0188199609382211
A2,2024-01-12,1.0175491463429052
A2,2024-01-16,1.0142359564646706
A2,2024-01-17,1.010945447093266
A2,2024-01-18,1.0150075173792057
A2,2024-01-19,1.0191830605482606
A2,2024-01-22,1.0179122461798769
A2,2024-01-23,1.0207262173248817
A2,2024-01-24,1.0226551197246851
A2,2024-01-25,1.024652133767012
A2,2024-01-26,1.027761093106465
A2,2024-01-29,1.0326174397613206
A2,2024-01-30,1.0274887856457788
A2,2024-01-31,1.0188653568994317
A2,2024-02-01,1.0281241929434366
A2,2024-02-02,1.0565587886530075
A2,2024-02-05,1.0531548063984875
A2,2024-02-06,1.0505223850585024
A2,2024-02-07,1.053654059852336
A2,2024-02-08,1.0520882223419532
A2,2024-02-09,1.0625497958324372
A2,2024-02-12,1.0577615260994864
A2,2024-02-13,1.0493650435732338
A2,2024-02-14,1.0546752474937955
A2,2024-02-15,1.0519974649132189
A2,2024-02-16,1.05133934216118
A2,2024-02-20,1.0458249074749049
A2,2024-02-21,1.0492515704631866
A2,2024-02-22,1.0628448187475044
A2,2024-02-23,1.0637752489602292
A2,2024-02-26,1.063185203130095
A2,2024-02-27,1.0604847050951378
A2,2024-02-28,1.0596223865249363
A2,2024-02-29,1.0677919230580264
A2,2024-03-01,1.0711051476568798
A2,2024-03-04,1.0696527832565443
A2,2024-03-05,1.0618009156516643
A2,2024-03-06,1.0604166281732332
A2,2024-03-07,1.0679281113955224
A2,2024-03-08,1.0645922060629072
A2,2024-03-11,1.056899207529285
A2,2024-03-12,1.0646829637185735
A2,2024-03-13,1.0673380657923204
A2,2024-03-14,1.072307885330291
A2,2024-03-15,1.062481719137465
A2,2024-03-18,1.0626178727543418
A2,2024-03-19,1.065840305203842
A2,2024-03-20,1.070946278585622
A2,2024-03-21,1.070946278585622
A2,2024-03-22,1.0725801927909773
A2,2024-03-25,1.0744864491776378
A2,2024-03-26,1.0712866976888318
A2,2024-03-27,1.074758756638324
A2,2024-03-28,1.076006890499878
A2,2024-04-01,1.0773457817901664
A2,2024-04-02,1.0767103744925084
A2,2024-04-03,1.0806136104278092
