session,symbol,series,equity,normalized_equity
2024-01-22,JPM,strategy,98790.84632536459,0.9879084632536459
2024-01-23,JPM,strategy,98140.41270347874,0.9814041270347874
2024-01-24,JPM,strategy,99017.33724686533,0.9901733724686532
2024-01-25,JPM,strategy,100434.36094495306,1.0043436094495306
2024-01-26,JPM,strategy,100051.06593588945,1.0005106593588944
2024-01-29,JPM,strategy,100312.40021628444,1.0031240021628445
2024-01-30,JPM,strategy,102368.24904562758,1.0236824904562758
2024-01-31,JPM,strategy,101259.02042096095,1.0125902042096095
2024-02-01,JPM,strategy,100893.1470623071,1.008931470623071
2024-02-02,JPM,strategy,101473.89390832977,1.0147389390832977
2024-02-05,JPM,strategy,101340.324630956,1.0134032463095601
2024-02-06,JPM,strategy,101688.77628112536,1.0168877628112536
2024-02-07,JPM,strategy,101880.41495830512,1.018804149583051
2024-02-08,JPM,strategy,101514.55048507803,1.0151455048507803
2024-02-09,JPM,strategy,101636.50232831991,1.016365023283199
2024-02-12,JPM,strategy,102089.48417132138,1.0208948417132138
2024-02-13,JPM,strategy,101200.94219380291,1.0120094219380291
2024-02-14,JPM,strategy,102228.86660847448,1.0222886660847448
2024-02-15,JPM,strategy,104458.9323484382,1.044589323484382
2024-02-16,JPM,strategy,103971.10714654248,1.0397110714654247
2024-02-20,JPM,strategy,104377.62813844313,1.0437762813844313
2024-02-21,JPM,strategy,105057.10090294534,1.0505710090294533
2024-02-22,JPM,strategy,106317.32934082227,1.0631732934082228
2024-02-23,JPM,strategy,106851.6153938188,1.068516153938188
2024-02-26,JPM,strategy,106485.74203516498,1.0648574203516499
2024-02-27,JPM,strategy,106538.00710254369,1.0653800710254369
2024-02-28,JPM,strategy,107078.10631531953,1.0707810631531953
2024-02-29,JPM,strategy,108053.75677718566,1.0805375677718565
2024-03-01,JPM,strategy,107606.57920853674,1.0760657920853673
2024-03-04,JPM,strategy,108413.81697606016,1.0841381697606016
2024-03-05,JPM,strategy,109499.81961788975,1.0949981961788975
2024-03-06,JPM,strategy,110068.94902978052,1.1006894902978053
2024-03-07,JPM,strategy,109104.90711661958,1.0910490711661958
2024-03-08,JPM,strategy,109308.17205528327,1.0930817205528327
2024-03-11,JPM,strategy,109348.81974660476,1.0934881974660475
2024-03-12,JPM,strategy,110248.97910018044,1.1024897910018043
2024-03-13,JPM,strategy,111143.33423747822,1.1114333423747822
2024-03-14,JPM,strategy,109162.9853437776,1.091629853437776
2024-03-15,JPM,strategy,110516.12659842942,1.1051612659842942
2024-03-18,JPM,strategy,111886.68950349104,1.1188668950349103
2024-03-19,JPM,strategy,112542.92739972945,1.1254292739972944
2024-03-20,JPM,strategy,114018.02932497523,1.1401802932497522
2024-03-21,JPM,strategy,115603.46577548036,1.1560346577548035
2024-03-22,JPM,strategy,114186.44201931794,1.1418644201931794
2024-03-25,JPM,strategy,113141.10478158864,1.1314110478158863
2024-03-26,JPM,strategy,113669.57767480586,1.1366957767480586
2024-03-27,JPM,strategy,115870.61321565467,1.1587061321565466
2024-03-28,JPM,strategy,116323.59505865612,1.1632359505865613
2024-04-01,JPM,strategy,115533.7789415425,1.155337789415425
2024-04-02,JPM,strategy,115487.31814851637,1.1548731814851636
2024-04-03,JPM,strategy,115162.10136661079,1.1516210136661078
2024-04-04,JPM,strategy,114290.9757547058,1.142909757547058
2024-04-05,JPM,strategy,115336.32181978715,1.1533632181978715
2024-04-08,JPM,strategy,115934.49037429427,1.1593449037429426
2024-04-09,JPM,strategy,115162.0960237398,1.151620960237398
2024-04-10,JPM,strategy,114186.4455618737,1.141864455618737
2024-04-11,JPM,strategy,114163.2107516846,1.141632107516846
2024-04-12,JPM,strategy,106822.57096640614,1.0682257096640615
2024-04-15,JPM,strategy,106880.64919356417,1.0688064919356417
2024-04-16,JPM,strategy,105666.89043414012,1.0566689043414013
2024-04-17,JPM,strategy,105248.75195003289,1.052487519500329
2024-04-18,JPM,strategy,105928.2247145351,1.059282247145351
2024-04-19,JPM,strategy,108570.62466425347,1.0857062466425347
2024-04-22,JPM,strategy,110667.12112684343,1.1066712112684343
2024-04-23,JPM,strategy,112252.55751927388,1.1225255751927388
2024-04-24,JPM,strategy,112798.46094832761,1.1279846094832762
2024-04-25,JPM,strategy,112966.87364267033,1.1296687364267033
2024-04-26,JPM,strategy,113036.56930396023,1.1303656930396024
2024-04-29,JPM,strategy,112914.6085752916,1.1291460857529159
2024-04-30,JPM,strategy,112020.26232342057,1.1202026232342057
2024-05-01,JPM,strategy,112089.94909928374,1.1208994909928374
2024-05-02,JPM,strategy,111973.80153039443,1.1197380153039442
2024-05-03,JPM,strategy,111305.93731459738,1.1130593731459737
2024-05-06,JPM,strategy,112171.2533092788,1.1217125330927882
2024-05-07,JPM,strategy,112026.06659777314,1.1202606659777314
2024-05-08,JPM,strategy,114290.9757547058,1.142909757547058
2024-05-09,JPM,strategy,115365.3609624035,1.153653609624035
2024-05-10,JPM,strategy,116102.91195406373,1.1610291195406373
2024-05-13,JPM,strategy,116079.67708579994,1.1607967708579994
2024-05-14,JPM,strategy,117694.15262084675,1.1769415262084675
2024-05-15,JPM,strategy,118042.60427101611,1.1804260427101612
2024-05-16,JPM,strategy,118251.67348403239,1.1825167348403238
2024-05-17,JPM,strategy,119599.00157890489,1.1959900157890488
2024-05-20,JPM,strategy,114250.32806338428,1.1425032806338429
2024-05-21,JPM,strategy,116538.47208858073,1.1653847208858072
2024-05-22,JPM,strategy,115835.76451388943,1.1583576451388944
2024-05-23,JPM,strategy,115028.52674636603,1.1502852674636603
2024-05-24,JPM,strategy,117229.56222914014,1.1722956222914014
2024-05-28,JPM,strategy,116526.85465444883,1.1652685465444883
2024-05-29,JPM,strategy,115719.61688692543,1.1571961688692542
2024-05-30,JPM,strategy,116428.1287359693,1.164281287359693
2024-05-31,JPM,strategy,118344.59512815933,1.1834459512815934
2024-06-03,JPM,strategy,117874.1915766734,1.178741915766734
2024-06-04,JPM,strategy,116329.40287556445,1.1632940287556446
2024-06-05,JPM,strategy,115225.97852525041,1.152259785252504
2024-06-06,JPM,strategy,115022.72247201345,1.1502272247201346
2024-06-07,JPM,strategy,116788.18893484381,1.1678818893484382
2024-06-10,JPM,strategy,116590.73715595945,1.1659073715595945
2024-06-11,JPM,strategy,113541.81621434042,1.1354181621434043
2024-06-12,JPM,strategy,111898.30159475193,1.1189830159475194
2024-06-13,JPM,strategy,113135.29522243977,1.1313529522243977
2024-06-14,JPM,strategy,113204.98199830294,1.1320498199830293
2024-06-17,JPM,strategy,113901.87641321492,1.1390187641321492
2024-06-18,JPM,strategy,115074.98753939215,1.1507498753939216
2024-06-20,JPM,strategy,116044.83372690571,1.160448337269057
2024-06-21,JPM,strategy,114668.46654749151,1.146684665474915
2024-06-24,JPM,strategy,116166.79445557432,1.1616679445557432
2024-06-25,JPM,strategy,115696.39090408839,1.1569639090408839
2024-06-26,JPM,strategy,115324.70444372993,1.1532470444372993
2024-06-27,JPM,strategy,116335.20714991704,1.1633520714991705
2024-06-28,JPM,strategy,118129.71275536375,1.1812971275536375
2024-07-01,JPM,strategy,119982.2965879685,1.199822965879685
2024-07-02,JPM,strategy,121945.22377318467,1.2194522377318466
2024-07-03,JPM,strategy,121863.9195631896,1.218639195631896
2024-07-05,JPM,strategy,120266.86045183097,1.2026686045183097
2024-01-05,JPM,same_stock_buy_and_hold,100000.0,1.0
2024-01-08,JPM,same_stock_buy_and_hold,99900.07495003122,0.9990007495003123
2024-01-09,JPM,same_stock_buy_and_hold,99110.25889099228,0.9911025889099228
2024-01-10,JPM,same_stock_buy_and_hold,99319.32810400856,0.9931932810400855
2024-01-11,JPM,same_stock_buy_and_hold,98901.189677976,0.98901189677976
2024-01-12,JPM,same_stock_buy_and_hold,98175.25612044768,0.9817525612044768
2024-01-16,JPM,same_stock_buy_and_hold,97559.66585745609,0.9755966585745609
2024-01-17,JPM,same_stock_buy_and_hold,97036.98835316468,0.9703698835316468
2024-01-18,JPM,same_stock_buy_and_hold,97228.63591577118,0.9722863591577119
2024-01-19,JPM,same_stock_buy_and_hold,98906.9939523286,0.989069939523286
2024-01-22,JPM,same_stock_buy_and_hold,98790.8463253646,0.987908463253646
